,text
760,"UGs can benefit from several events conducted such as: ResearchX Curious Community The Research Exposition of IIT Bombay is conducted every year where students get an opportunity to showcase research work done by them, along with that panel discussions, talks, and Discussions A community where several students of same research interest can come together and discuss about a specific topic. These has been created to bridge the gap several other events are between juniors and experienced conducted to so that you can get a flavor about research. Apping Session Conducted along with Career Cell where students get to know about the process of applying for internship, several senior students come and share their experience of applying for internships. You can check the slides shared by seniors regarding apping here: https://www.facebook.com/600356023391739/pos ts/2391533804273943/?app=fbl seniors associated. SURP (Summer Undergraduate Research Program) and iSURP (in Semester Undergraduate Research Program) Portals launched for the benefits of students where you can take up projects collected from several departments and aggregated on a common portal, to facilitate the process of taking up projects (interdisciplinary too). It is a golden opportunity for students in their first- year summer to take explore research and find their research interest. Shruti Gupta continued her SURP project further and then she filled a patent for that, check her experience SURP: https://gymkhana.iitb.ac.in/~ugacademics/new_research/index.php/2019/04/16/surp-exp-1-0-shrutigupta-jellow- communicator/ Given below is the link to Bhavesh Patil’s experience of SURP during his first-year summer: https://gymkhana.iitb.ac.in/~ugacademics/new_research/index.php/2019/08/31/surp-experience-2-0-bhavesh-patil- biomedical-image-segmentation-model/ WHAT WE DO | PAGE 36 "
761,"Department Research Coordinators (DRCs) For each undergraduate department (department with undergraduate strength), one Department Research Coordinator is allocated. The primary role of the DRCs is to bolster the undergraduate research culture in the departments and in the institute at large through various initiatives and sessions. They bridge the gap between professors and students. Benefits to undergraduates: Guide you to explore your research interest, as well as provide you with opportunities to Ideate various pursue it with due Work in collaboration research-oriented compassion. with department events, talks specific to their departments to provide students councils to conduct to department level events to increase with an opportunity DRC department level to pursue their core bonding and research interest. awareness among students. Publicize several Department Lab applications for Visits/Open Days are scholarships, also conducted by them where students can get to know about labs and research facilities present in several departments. fellowships, and available in-semester research projects from the department so that students can benefit from them. WHAT WE DO | PAGE 37 "
762,"DEPARTMENT RESEARCH ACTIVITIES DEPARTMENT RESEARCH ACTIVITIES | PAGE 38  AEROSPACE ENGINEERING In the Aerospace Engineering Department, one of the best ways to explore your area of interest with your favourite professor is through a Supervised Learning Project (SLP). These can be done twice, starting from your 3rd semester, till the 8th semester, and counts towards the Department Electives. Another way is to interact with the senior students and the professor, they are approachable and knowledgeable in their chosen fields. The Department conducts multiple seminars and workshops each month on diverse topics spanning Swarm Robotics to Analysis of Advanced Composite Materials to Autonomous and Cyber Physical Systems. Watch out for information on these on the Department mailing list. The Department Council promotes research in the form of Lab visits where you get to visit each and every lab in the department, Know Your Department sessions, where seniors talk about their chosen field of interest within the department and Apping sessions, where seniors talk about their apping experience for higher studies in Aerospace Engineering. Feel free to contact the Department Research Coordinator if you are motivated to take up a research engagement but don’t know which professor or lab to approach. - Banzal, Aerospace Engg. DRC CIVIL ENGINEERING The Civil Engineering Department council organizes various events throughout the year like ‘Know your Department’ in which faculties introduce the students about their specializations, their research and also encourage them to take up projects. Then there are Career Counseling sessions and sessions on a Semester Exchange as well. The Civil Engineering Department has introduced a SUPERVISED LEARNING PROJECT (SLP) for UG students of the Department. This project is similar to the BTP but the only difference is that it can be taken by any 2nd, 3rd, or 4th year students, while BTPs are only allowed for the 4th year students. The SLP runs under a course code of ‘CE 695: R&D Project’. Also, this year onwards credit-based summer internships have been started. The course code for the same is 'CE346' in which 3rd- year students doing a minimum of 2 months’ summer Core-internship, can tag it as a Department Elective. We have extended this credit- based internship to University Internships as well. - Komal Gaware, Civil Engg. DRC DEPARTMENT RESEARCH ACTIVITIES | PAGE 39 "
763,"CHEMICAL ENGINEERING Many professors in the Chemical Engineering Department work on interdiscipslinary and exciting projects. The Department publishes its research activities in a well-documented booklet. There are Grad School Apping sessions too to help out students who intend to apply to graduate schools for higher studies. You can find an Apping Guide written by Jyot (now an alumnus) and the other important resources here.Don't miss out on the variety of seminars ranging from typical reaction engineering to something such as evolutionary biology hosted by esteemed professors from reputed Universities. Keep yourself notified by subscribing to the mailing list of seminar_che@che.iitb.ac.in The Department hosts a Student Industry Meet where esteemed professionals from several firms interact with the students. Also, make sure you experience the one day Student Industry Visit. The main highlight of the Department, is a 6-credit department elective called 'Course on Wheels,' which is organized by Prof. Mahajani in the winter vacations. Students go on an educational tour and visit industries from various sectors such as oil and gas, base chemicals, petrochemicals, fine and specialty chemicals, etc. While a simulation project of a real-life plant is an added benefit, this is a fantastic opportunity for the 3rd year or senior students to see the real-life applications of their textbook learning. - Ashutosh Nehete, Chemical Engg. DRC COMPUTER SCIENCE AND ENGINEERING The Computer Science and Engineering department has a lot of active Special Reading Groups (SRGs) which are generally managed by professors and postgraduate students. Also, the department conducts a lot of interesting and informative talks, almost on a monthly basis, on a variety of topics spanning from algorithms to artificial intelligence. You can find the details of such talks on departement website. Department hosts the Faculty Unplugged Seminar Series (FUSS) which includes various workshops, seminars and talks regularly. CSE department is rich in terms of the quality and quantity of research projects going on in the departement so if you are really interested and motivated in a particular topic you should interact with the seniors or professors working with it. Department has many labs working on intriguing subjects, like CFILT (Center for Indian Language Technology) and ViGiL (Vision, Graphics and Imaging Laboratory). At last, you can always contact the Department Research Coordinator if you want to know more about the research projects and the professors or seniors working with it. - Satvik Mashkaria, CSE DRC DEPARTMENT RESEARCH ACTIVITIES | PAGE 40 "
764,"ELECTRICAL ENGINEERING The Electrical Engineering department is actively involved in research with many specialisations offered in the department. With the introduction of 4 new Specialisations last year, the department offers students the flexibility to choose their ideal path. The six specialisations are Communications and Signal Processing, Control and Computing, Power Engineering and Power systems, Solid State devices, Microelectronics and Electronic Systems. The department has many student-friendly labs with multiple facilities. The department also hosts a number of SRGs or Student Reading Groups which have participants from all over the department. With the compulsory EDL lab, you get to understand the vast area of research in Electrical Engineering and get to work on a project of your choice during the semester. The department has courses such as R&D projects which can be tagged as department electives and SRE or Student Research Exposition which is compulsory for the Dual Degree students. BTP 1 is a compulsory core course which also promotes preliminary research by every student. An industry day is organized by the department where there is collaboration with the industries to see new equipment and latest research as well. - Khanna, Electrical Engg. DRC ENERGY SCIENCE AND ENGINEERING The main highlight of the department is the symposium called Energy Day, where people from the industry come and visit the department and also see the DDP projects of students. The department being one that offers a dual degree only, every student does a DDP and hence has a good research exposure by the time they graduate. There have been many students who have pursued higher studies in the discipline as well. The department also has many industrial visits that are conducted during the semester. The DIC of the department is also a great practical exposure for all the students and you may learn to make a solar cooker too! Energy being an upcoming department, the professors focus on the practical experience for the students. Two labs in the fourth year, namely Energy Innovation Lab and the Energy Design Lab give a very good practical experience to all the student. - Siddhartha, DESE DRC DEPARTMENT RESEARCH ACTIVITIES | PAGE 41 "
765,"MECHANICAL ENGINEERING The best way to know more about what research has in store for mechanical undergraduates and how to go about it is by interacting with seniors and professors. The Mechanical Engineering Department council organizes various events throughout the year to facilitate this. ‘Know the Research’ is one such session. KTR is aimed at educating the students about various research going in the department and about how to pursue research while in the institute. This year, Prof. Parag Tandaiya delivered a talk followed by students like Rahul Agrawal, Nakul Ghate, Baksh Mangat and Hemant Kumawat talking about their fields of research and their journey. We also have Lab visits in the spring semester for you to acknowledge the different research facilities in the department and their vast application. Feel free to contact the Department Research Coordinator if you are motivated to take up a research engagement but don’t know which professor or lab to approach. You can also have a look at the Department Newsletter (available on the department’s website) to know more about our department! - Raj Lakhani, Mechanical Engg. DRC METALLURGICAL ENGINEERING AND MATERIALS SCIENCE There are a number of ways for immersion into what the blue and white building entails. The Department conducts multiple seminars and workshops each month on diverse topics spanning Machine Learning to predict material properties and salvaging metals from Li-ion batteries. Watch out for information on these on the Department mailing list, Department notice boards as well as institute mailing lists that you can opt to subscribe to like seminar@iitb.ac.in and events@iitb.ac.in. The Department’s students also regularly organize Industrial Visits, lab tours and sessions. Information about these is made available to students when the visit approaches. You can also reach out to the Department Research Co-ordinator and Department Council to find out more about the next thing that’s coming up. The Department Newsletter, Dhatuki, also provides a whole host of what the Department has to offer with articles from undergraduates, postgraduates as well as Professors! - Mrigi Munjal, MEMS DRC DEPARTMENT RESEARCH ACTIVITIES | PAGE 42 "
766,"COUNCIL NOTE As a team that promotes research among the undergraduates and motivates you to take up research, we would like to suggest something. While you try out other things in the institute and look up to seniors, let yourself also give an honest shot at research! Research is not the easiest of options to pursue and it may take several attempts to get things right but trust us the joy in finding something novel, contributing to the world’s knowledge of things and the sheer feeling of accomplishment upon getting results is inexplicable.We strive to help you out in this journey and we wish you the very best in all your endeavours! COUNCIL NOTE | PAGE 43 "
767,DOCUMENTATION Debugging the LAN problems Indian Institute of Technology Bombay (Sept 2019) Table of Contents 1 Objective and important information - 3 2 Terms and definitions used in the document - 3
768,3 Debugging - 4 - Check for power - 4 - Check for data connectivity - 5 4 Note for Hostel System Administrators - 6 5 Queries - 6 1. Objective and important information This document has been developed by ISA’s for the sole purpose of reducing the number of LAN problems which can be sorted out by an individual himself and not waste his time waiting for a vendor visit by Computer Centre(CC).
769,Refer to this document to debug for internet issues on LAN in the hostel area. Please do not mail CC regarding the internet issues directly as it will lead you nowhere. Following the steps will help get your issues get sorted as soon as possible.
770,"2. Terms and definitions used in the document For the purpose of this documentation, unless there is something repugnant in the context, the following expressions shall have the meaning attached thereto:"
771,"- Institute' or I.I.T. means Indian Institute of Technology Bombay, Powai, Mumbai 400076 - CC is the Computer Center, IIT Bombay - ISA refers to Institute System Administrator, IIT Bombay - LAN is working fine means intranet & internet works after https://internet.iitb.ac.in/ login"
772,- GSec refers to General Secretary of the hostel - System administrator or sysad means Hostel System Administrator - Vendor means the authorized vendors sent by CC on a pre-decided date and time to fix LAN issues in hostels
773,- LAN port/ ethernet port and RJ45 Jack are used interchangeably and refer to this: 3. Debugging A LAN connection needs 2 working components for the internet to work - power and data.
774,"3.1 Check for power: 1. Check for LAN symbol in the taskbar. Note that there might be driver issues in your laptop too. To verify, check the note. NOTE: Check for driver issues on your laptop . For this, simply test your laptop on a port where LAN is working fine (Your friend’s room?). If you can access the internet without any issues, go to step 2. Else check the drivers for your laptop and troubleshoot your laptop hardware."
775,"2. Check for light in laptops/PC's ethernet port to (not every pc gives out this feature, perhaps you can borrow someone’s with this feature included.) 3. If both tests fail, call in the hostel system administrator and mention about the possible power failure in LAN port."
776,"3.2 Check for data connectivity: 1. If you see something like the image below, try switching to Static IP instead of DHCP. If you’re already using Static IP, check if you have configured your laptop correctly according to the IP allocation at https://www.cc.iitb.ac.in/ ."
777,"Note: For setting static IP on your laptop, check out these instructions. Use an IP address from the DHCP IP Pool. Try visiting https://internet.iitb.ac.in . If the IP doesn’t work, try using another IP address as the IP might already be in use. In case of any queries with IP allocation, contact the hostel system administrator."
778,"- Windows: https://www.howtogeek.com/howto/19249/how-to-assign-a-static-ip-address-in-x p-vista-or-windows-7/ - Linux: https://linuxize.com/post/how-to-configure-static-ip-address-on-ubuntu-18-04/#co nfiguring-static-ip-address-on-ubuntu-desktop - MAC: http://www.macinstruct.com/node/550 If even Static IP doesn’t work, try pinging the hops giving on the same page and contact the hostel system administrator. Mention him the extent of IP hops you can ping up to."
779,"2. If even Static IP doesn’t work, try pinging the hops giving on the same page and contact the hostel system administrator. Mention him the extent of IP hops you can ping up to."
780,"FAQ: How do I ping to a HOP? - https://www.wikihow.com/Ping-an-IP-Address . 4. Note for Hostel System Administrators - In case of a power failure of LAN port, check if the wing switch has a proper electricity supply."
781,"- If the wing switch itself is not receiving power, report to Hall manager and ensure the electric supply is functioning correctly. - If the entire wing switch is down, check if the optic cable connecting the wing switch is working correctly."
782,"- If the entire hostel LAN is not working, contact ISA. - If a vendor visit is scheduled, please be available for getting your LAN ports repaired. Do not ask the vendor to configure the static IP for your device as vendor doesn’t know the IP’s allocated inside the institute and outside his scope of work."
783,5. Queries In case of any general queries: Please fill out this form at http://bit.ly/lanqueries . Do not fill complains in the form. Complaints are managed by the hostel system administrators.
784,"In case the hostel sysad or the web secy has not been made yet, please reach out to the hostel GSec. In case GSec also isn’t appointed, contact the Hall Manager to appoint a council as CC isn’t sending vendors without appointing hostel council."
785,"If you find any problem or have any recommendations in context with this documentation, contact Nautatava Navlakha at nautatva@iitb.ac.in or nnautatva@gmail.com"
786,"Course Re-Tagging Re-tagging provision of courses will be provided to the following students through Online Application Form. 1. Final year students from B.Tech., B.S., 5 Year Integrated M.Sc. programmes. 2. Final year Dual Degree Programmes’ Students (B.Tech.+ M.Tech., B.S.+ M.Sc., B. Des.+ M.Des.) of category II and above."
787,"The dates for opening and closing of online re-tagging form will be announced soon through students’ notices. Students are advised to read the following guidelines carefully before applying for re-tagging. ONCE APPLIED, NO FURTHER RETAGGING REQUESTS WILL BE ACCEPTED:"
788,"Case I:Following ""Re-tagging"" requests will be executed immediately on submission of the application form on the online portal. No additional approval will be required. Tag	Description	Changeable to (No approval is required)	"
789,"C	Core Course	{H} $	 D	Departmental Elective	{O,T,E}	 E	Honours Elective	{D,O,T}	 H	Humanities Elective	{T}	 I	Institute Elective	{T}	 M	Minor Course	{I,T}	 O	Honors Course	{D,E,T}	 T	Additional Learning	{D,E,I,O}	"
790,"$ HS3xx level courses will be allowed to be re-tagged as Humanities Elective if they are currently tagged as C. Case II: For the following ""Re-Tagging requests"", students are required to apply on the on-line portal. The application will be reflected on the interface of the concerned Head of the Academic Unit for approval. The ""Re-tagging"" request will be executed only upon the approval from the concerned Head of the Academic Unit. Hence, the students must go through the department rules before applying for these ""Re-tagging requests""."
791,"Tag	Description	*Changeable to (Approval of HOD is required in which student is doing minor)	Changeable to (Approval of HOD of parent department is required)	 C	Core Course	----	{D, I}**	"
792,"D	Departmental Elective	{M}	{C}***	 H	Humanities Elective	{M}	{D, I, ,C***}	 I	Institute Elective	{M}	{C}***	 M	Minor Course	------	{D}	 T	Additional Learning	{M}	{C}***	 *This provision will be available only if a student is already registered for at-least two courses for any other department."
793,"**Allowed only for first two semester courses for students who have changed the branch. *** Change of Tag from {D, H, I, T} to {C} will be allowed only as per bulletin of the programme."
794,"Case III: For the following ""Re-Tagging requests"", students are required to email to the Head of his/ her Academic Unit. 1. to apply for an equivalent core course, 2. ""Re-tagging"" from core course to any other course except allowed in (a) Case I above [i.e. Core tag to H tag for HS3xx level courses, if currently tagged as ""C""], and"
795,"(b) Case II above [i.e. Core tag to D and I tags for the first two semester courses for students, who have changed the branch] 3. Change the tag of a course which is not covered in Case I and II above."
796,The request will be executed at the academic office on the receipt of approval. The HoDs will send a list of these unusual cases to Academic Office for manual tag change of courses.
797,"Applicable to the B.Tech., B.S., B.Des., Dual Degree students admitted from the Academic Year 2007 - 2008 Updated: May, 2022 1 Rules are classified into three sepreate categories as follows: (I) those which may be implemented within a department by DUGC/DPGC, (ii) those that require a decision at the level of A/Dean AP, or UGAPEC/PGAPEC, based on recommendations from the department bodies (iii) those that need to be discussed in the Senate for a decision"
798,"Therefore, rules are colored with one of three colors. 1. The color green indicates that the final authority for rule is the Convener DUGC 2. The color yellow, and underlined means that the final authority is Associate Dean(AP)/Dean"
799,"(AP). 3. The color yellow, without an underline means that the Convener, UGAPEC is the authority. 4. The color blue means that the final authority is the Senate 5. The rule which is uncolored, is to be implemented strictly."
800,2 INDEX Section Particulars Page PREFACE - 7 1 INTRODUCTION - 8 9 10 10   2.1 Curriculum - 10 10 11 11 11     2.3.3 Seminars - 11     2.3.4 Projects - 12
801,12 12 12 12       2.3.4.1 NCC/NSO/NSS - 12 2.4 Minimum Credit Requirements and Planning of Individual Academic 12 Programme 13     2.5.1 Minor - 14     2.5.2 Honours - 14     2.5.3 Two Minors etc - 15
802,"3 ROLE OF FACULTY ADVISER - 15 1.1 Organizational Structure for Academic Administration 1.2 Academic Calendar 2 CURRICULUM / PROGRAMME OF STUDY 2.2 Semester – Autumn, Spring, Summer 2.3 Course Credit System/ Structure"
803,"2.3.1 Theory and Laboratory Courses 2.3.2 Course Equivalence 2.3.4.1 B.Tech. Projects (BTP –I and BTP-II) 2.3.4.2 B.S. Project 2.3.4.3 Dual Degree Project (DDP) 2.3.4 Non Credit Requirements 2.5 Opportunities for Additional Learning: MINOR, HONOURS, etc. ."
804,3 4 REGISTRATION - 16 16 16 17 17 17 17 17 17 18 18 18 18 19 19 20 20 21 21 22 23 23 23 24   5.7 Self-Study - 24
805,24 4.1 Semester-wise Registration 4.2 Procedure for Registration 4.2.1 Online Registration 4.2.2 Late Registration 4.2.3 Registration for the first two Semesters 4.2.4 Registration for third and subsequent Semesters 4.3 Registration for Institute Elective Courses
806,4.4 Registration for Non-credit Courses (NCC/NSO/NSS) 4.5 Registration for Projects 4.5.1 Registration for B.Tech. Projects (BTPs) 4.5.2 Registration for Dual Degree Projects (DDPs) 4.5.3 Registration for B.S. Projects 4.6 Course Adjustment/ Dropping of courses
807,"4.7 Dropping of a Semester 4.8 Registration for Additional Courses: (Minor, Honours, etc.) 4.9 Summer term Course Registration 5 SPECIAL FEATURES IN REGISTRATION 5.1 Academic Standing 5.2 Permissible Registration Load 5.3 Carrying Backlogs forward"
808,5.4 Audit Course 5.5 Registration for Post-Graduate level courses 5.6 Guided Study 5.8 Course Substitution 4 6 EXAMINATION / ASSESSMENT - 25 25 26 26 26 26 26 28 28   6.5 Grading - 29
809,31 31 31 31 32 33 33 33 33 6.10 examination 34 34 7 Registration of NPTEL/ SWAYAM Courses 34 6.1 Modes of evaluation for theory courses 6.2 Modes of evaluation for Laboratory courses
810,"6.3 Modes of evaluation for Seminars 6.4 Modes of evaluation for Projects 6.4.1 B.Tech. Projects 6.4.2 Dual Degree Projects 6.4.3 B.S. Project 6.4.4 Extension Rules For Projects (R&D, BTP, DDP, B.S. projects)"
811,6.6 Valid reasons for semester end make up examination 6.7 Academic Malpractice 6.8 SPI / CPI 6.8.1 Semester Performance Index (SPI) 6.8.2 Cumulative Performance Index (CPI) 6.8.3 Semester Grade Report 6.8.4 Transcript; Consolidated statement of Academic Performance
812,6.9 Display of In-semester performance Disclosing the evaluated answer scripts after semester end 6.11 Answer script retention period 6.12 Re-totaling of marks Credit Equivalence of NPTEL/SWAYAM courses with IIT Bombay 7.1 34 courses
813,Policy for registering/ award of grades for NPTEL/ SWAYAM/ 7.2 34 Semester Exchange courses 5 8 CHANGE OF BRANCH 35 36 9 PERFORMANCE REQUIREMENTS 36 9.1 Award of degree 37 9.2 Award of Medals
814,38 9.3 Transfer to ARP 38 9.4 Early exit for poorly performing Dual Degree students 39 10 UNDERGRADUATE RESEARCH AWARDS (URA) 40 11 ACADEMIC REHABILITATION PROGRAMME (ARP) ALLOWING B TECH AND B.S STUDENTS TO LEAVE
815,12 AFTER COMPLETING THEIR CREDIT REQUIREMENTS - 40 FOR B.TECH./B.S EARLIER THAN 4 YEARS CONVERSION FROM B.TECH TO DUAL DEGREE 13 - 41 (B.TECH.+ M TECH.) PROGRAMME GUIDELINES FOR INTERDISCIPLINARY DUAL DEGREE
816,"14 - 41 PROGRAMME (IDDDP) 15 SPECIAL LEAVE - 42 16 PLANNED BREAK FROM STUDIES - 43 17 UTILITY - 43 18 GLOSSARY - 44 6 PREFACE The Indian Institute of Technology Bombay (IITB) is one of the Indian Institutes of Technology in the country, set up with the objective of conducting research, imparting education, and training in various fields of Science and Technology. The Institute is now recognized as a leader in science and engineering education worldwide. It has established a firm foundation for education and research with a vision to be the fountainhead of new ideas and innovations in technology and science. The mission of IIT Bombay is to create an ambiance in which new ideas, research and scholarship flourish and from which the leaders and innovators of tomorrow emerge."
817,"IIT Bombay on an average annually admits more than 1000 candidates for the undergraduate programmes (B.Tech./ Dual Degree and B.S.) through the Joint Entrance Examination (JEE), more than 30 candidates for B.Des. Programme through the Undergraduate Common Entrance Exam for Design (UCEED), around 300 candidates for the M.Sc. and the M.Sc. Ph.D. Dual Degree programmes, more than 1000 candidates for postgraduate programmes and around 300 candidates for Ph.D. programmes. IIT Bombay follows a credit- based semester system. There are two semesters in an academic year (Autumn: July- Nov; and Spring: January-April) during which all courses specified for various degree programmes are offered. There is one additional term during summer, called the Summer Term, for summer courses. Students are required to meet specified academic requirements each semester."
818,"This booklet provides comprehensive information on the Rules and Regulations for B.Tech., Dual Degree, B.S. and B.Des. Programmes. IIT Bombay gives freedom to its various academic units to tailor their academic programmes as per their specific needs, within the frame work of the Rules and Regulations approved by the Senate from time to time. Keeping in view the new technical developments and to allow students some freedom to explore topics of their interest, IIT Bombay revised its Undergraduate Programmes curriculum (w.e.f. the Academic Year 2013). The revised curriculum, provides additional opportunities and flexibility for students to optimize their learning experience. This needs continuous and meticulous planning of the academic profile on the part of each student to fully utilize the opportunities. The students, and parents/ guardians, are therefore, advised in their own interest to get fully familiar with the Academic system of the Institute. Student’s attention is brought particularly to the assessment procedures and the specific rules governing the grading system, academic performance requirements etc."
819,IIT Bombay offers its students best opportunities that are needed to create outstanding scientists and engineers. We hope that you will strive hard to utilize the resources available to fully develop your potential as an engineer/scientist/designer/economist/social scientist.
820,"We wish all our students a very bright future and a successful career. Dean of Academic Programmes 7 1. INTRODUCTION The B.Tech./ Dual Degree/ B.S. programmes consist of courses in basic sciences humanities and social sciences, engineering and technology and other related topics. The sequence of studies broadly consists of three phases."
821,"The first phase is an intense study of sciences, mathematics and humanities for deeper understanding of concepts than what was done in school. The second phase is the study of engineering sciences and technical arts (such as workshop, engineering graphics, etc.). This study imparts broad based knowledge in general engineering, and engineering methodologies, and enables the students to appreciate the links between science and engineering. This phase is also, by and large, common across UG programmes, and overlaps with the first phase."
822,"In the third phase, the students are exposed to subjects in their chosen areas of study, designed to train them in the methodologies of analysis of problems and synthesis of solutions. The courses cover the principles governing systems and processes, and develop the ability for physical and analytical modeling, design and development. They are also introduced to engineering practices through laboratory courses, projects, etc., and these vary from discipline to discipline."
823,"In parallel with the third phase, students can strive to broaden their perspectives through atleast two open Institute electives where they can take courses drawn from across the Institute. B.S. programme students, in addition, work independently on a project in their last two semesters."
824,"Dual Degree students do additional courses to get in-depth knowledge in their chosen disciplines, often with specializations. In addition, they work on a research and development project during their final year."
825,"At various stages of the programme, students are initiated into research methodologies, reading and interpreting research papers, use of engineering and scientific equipments/ instruments, modern computational techniques, writing technical and scientific reports and effective communication."
826,"Apart from the minimum credit requirements for the award of the degree, opportunities exists for supplementing the learning experience by crediting additional courses, in diverse areas. These additional credits, when they are in focused areas, can earn the students credentials like Minor/ Honors."
827,"The requirements for degree programmes run by the Institute are broadly classified as: a) Institute Requirements (further divided into Compulsory courses, Elective courses and other requirements). b)Departmental Requirements (further divided into Compulsory courses, Elective courses and other requirements)."
828,"The curriculum for various programmes are available on the Institute website: www.iitb.ac.in 8 1.1 Organizational Structure for Academic Administration The academic programmes of the Institute are governed by Rules and Regulations approved by the Senate from time to time. The Senate is a statutory and supreme body that governs all academic matters of the Institute, and the rulings of Senate Chairperson (Director of The Institute) are final in regard to all academic issues. A definite time schedule is set by the Senate for various academic activities, through an Academic Calendar issued at the beginning of each academic year."
829,"The Senate continuously assesses the academic programmes and makes appropriate revisions/ modifications/ improvements as and when required through two Institute level Senate sub-committees: The Undergraduate Programmes Committee (UGPC) for undergraduate programmes and a Post- Graduate Programmes Committee (PGPC) for post-graduate programmes. The Dean of Academic Programmes (Dean, AP) and the Associate Dean of Academic Programmes (Associate Dean, AP) are the Conveners & Co-conveners respectively of these committees."
830,"Similarly, the performance and evaluation related issues are monitored by the Senate through two Institute level committees: Undergraduate Academic Performance Evaluation Committee (UGAPEC) and Postgraduate Academic Performance Evaluation Committee (PGAPEC). Conveners for these committees are designated from among Senate members. These four committees make recommendations to the Senate and in turn seek/ receive opinions/ recommendations, when required, from the two Department level committees in each department, the Department Undergraduate Committee (DUGC) and the Department Postgraduate Committee (DPGC). The DUGCs and DPGCs handle all academic matters, related to both academic programmes as well as performance of individual student. The Head of the Department is the convener of both these departmental committees. The Senate as well as its sub-committees also have student representatives. Administrative backup for all academic"
831,"matters is provided by the Academic Office, with a Joint/ Deputy Registrar (Academic) as in-charge. On joining the Institute, each student is assigned a Faculty Adviser from his/her Department. Students must consult the Faculty Adviser on any matter relating to their academic performance and the courses they may take in various semesters/ summer terms. The Faculty Adviser guides the students to complete their courses of study for the required degree in a timely manner, while maintaining good academic performance."
832,"All academic issues connected with the B.Tech., Dual degree, B.S. and B.Des. programmes are handled by DUGC, UGAPEC and UGPC. If on any academic matter a student would like to approach this administrative structure, it is always through the DUGC with advice and recommendations from her /his Faculty Adviser."
833,"9 Organizational structure for Academic Matters 1.2 Academic Calendar The academic activities of the Institute are regulated by the Academic Calendar approved by the Senate, and released at the beginning of each academic year. It is mandatory for students / faculty to strictly adhere to the academic calendar for completion of academic activities. The Academic Calendar can be seen on the Academic Office website of the Institute :"
834,"(http://www.iitb.ac.in/newacadhome/toacadcalender.jsp) 2. CURRICULUM / PROGRAMME OF STUDY 2.1 Curriculum Every Department has a prescribed course structure which, is known as the Curriculum . It prescribes the courses, labs and other requirements for award of the degree and sets out the nominal sequence semester-wise. It also gives the syllabus and a list of texts and reference books for each course. The Curriculum details are updated every semester and are made available at the Institute website."
835,"2.2 Semester – Autumn, Spring, Summer The Institute follows a credit based semester system. There are two regular semesters in a year. The semester that begins in July (July to Nov.) is known as the Autumn Semester or Semester 1 and the semester that begins in January (Jan. to April/May) is known as the Spring Semester or Semester 2. During the summer vacation, i.e., (May-June), a few courses are offered as part of Summer Term (refer Sec. 4.8). These courses can be taken by students as per summer term guidelines."
836,"10 2.3. Course Credit Structure In general, a certain quantum of academic work measured in terms of credits is laid down as the requirement for a particular degree. A student earns credits by satisfactorily clearing courses/ other academic activities every semester. The credits associated with a course/ other academic activities are dependent on the number of hours of work expected to be put in by the student per week."
837,"2.3.1 Theory and Laboratory Courses Courses are broadly classified as Theory Courses and Laboratory Courses. Theory courses consist of lecture (L) and tutorial (T) hours, but may have attached practical (P) hours in special cases. Laboratory courses consist of practical hours, but may have attached tutorial hours in special cases. Credit (C) for a course is obtained by multiplying the number of hours of instruction per week in that course, by two (2) for lecture and tutorial hours, and by one (1) for laboratory hours i.e. C = 2xL + 2xT + P. A student is expected to spend, on average, one hour every week outside class for every lecture/ tutorial held that week. Two examples of credit calculation are shown below:"
838,"Theory Courses Laboratory Courses L T P C L T P C 2 1 0 6 0 1 3 5 In the Courses of Study , if a theory course is shown as, say, CE304 Soil Mechanics II: 2 1 0 6, it means that CE304 is the course code, Soil Mechanics II is the course title and 2 1 0 6 corresponds to L T P C respectively."
839,"Other academic activities consist of a Seminar, Projects, which carry credits and NSO/ NSS/ NCC, in which only a pass (PP) or no-pass (NP) grades are awarded. 2.3.2 Course Equivalence (Ref: 251 st Senate Meeting):"
840,"Addition of course equivalence for core courses will be permitted on approval of DUGC of respective Academic Units. 2.3.3 Seminars Some departments prescribe a Seminar as a requirement for B.Tech./ B.S./ B.Des. or the Dual Degree. A Seminar is a course wherein under the guidance of a faculty member a student is expected to do an in-depth study in a specialized area by doing a survey of published technical literature and understand different aspects of the problem. Finally, the results from literature must be summarized in a written report and presented before a designated committee of faculty members. Seminars typically carry 3 credits."
841,"11 2.3.4 Projects 2.3.4.1 B.Tech. Projects (BTP - I and BTP – II) Some departments prescribe Project as a requirement for the B.Tech. degree, or as a requirement for Honors (refer Sec.2.5.2), wherein under the guidance of a faculty member a student, in the sixth semester or later, is required to do innovative work with the application of knowledge gained from courses in the earlier years. The student is expected to do a survey of literature in the subject, work out a project plan and carry it out through design, analysis, experimentation etc. These projects (BTPs) may be offered as a single unit of 12 credits (BTP) or as 6 credits of BTP-I followed by BTP-II of 6 credits or 12 credits. (Ref: 241 st Senate"
842,"Meeting) Even when it is not prescribed as a minimum requirement for the degree or when not being interested in Honours, a student can opt to do a BTP as additional learning, if s/he can find suitable supervisor (s) to guide her/him."
843,2.3.4.2 B.S. Project (Ref: 240 th Senate Meeting) Some departments prescribe a B.S. Project as a requirement for the B.S. degree. Such a project is carried out under the guidelines of a faculty member and may carry 6 or more credits as prescribed by the department.
